year,film,producers,year_raw,ceremony_year_raw,film_release_year,ceremony_number,winner_flag
1927.0,Wings,"Paramount (Lucien Hubbard, Jesse L. Lasky, B. P. Schulberg, & Adolph Zukor, producers)",1927/28 (1st),1927/28 (1st),1927.0,1.0,
1927.0,7th Heaven,"Fox (William Fox, producer)",1927/28 (1st),1927/28 (1st),1927.0,1.0,
1927.0,The Racket,"The Caddo Company (Howard Hughes, producer)",1927/28 (1st),1927/28 (1st),1927.0,1.0,
1928.0,The Broadway Melody,"Metro-Goldwyn-Mayer (Irving Thalberg & Lawrence Weingarten, producers)",1928/29 (2nd) [a],1928/29 (2nd) [a],1928.0,2.0,
1928.0,Alibi,"Feature Productions (Roland West, producer)",1928/29 (2nd) [a],1928/29 (2nd) [a],1928.0,2.0,
1928.0,The Hollywood Revue,"Metro-Goldwyn-Mayer (Irving Thalberg & Harry Rapf, producers)",1928/29 (2nd) [a],1928/29 (2nd) [a],1928.0,2.0,
1928.0,In Old Arizona,"Fox (Winfield Sheehan, producer)",1928/29 (2nd) [a],1928/29 (2nd) [a],1928.0,2.0,
1928.0,The Patriot,Paramount,1928/29 (2nd) [a],1928/29 (2nd) [a],1928.0,2.0,
1929.0,All Quiet on the Western Front,Universal (Carl Laemmle),1929/30 (3rd),1929/30 (3rd),1929.0,3.0,
1929.0,The Big House,"Cosmopolitan (Irving Thalberg, producer)",1929/30 (3rd),1929/30 (3rd),1929.0,3.0,
1929.0,Disraeli,"Warner Bros. (Jack L. Warner & Darryl F. Zanuck, producers)",1929/30 (3rd),1929/30 (3rd),1929.0,3.0,
1929.0,The Divorcee,"Metro-Goldwyn-Mayer (Robert Z. Leonard, producer)",1929/30 (3rd),1929/30 (3rd),1929.0,3.0,
1929.0,The Love Parade,"Paramount Famous Lasky (Ernst Lubitsch, producer)",1929/30 (3rd),1929/30 (3rd),1929.0,3.0,
1930.0,Cimarron,"RKO Radio (William LeBaron, producer)",1930/31 (4th),1930/31 (4th),1930.0,4.0,
