year,film,producers,year_raw
1927,Wings,"Paramount (Lucien Hubbard, Jesse L. Lasky, B. P. Schulberg, & Adolph Zukor, producers)",1927/28 (1st)
1927,7th Heaven,"Fox (William Fox, producer)",1927/28 (1st)
1927,The Racket,"The Caddo Company (Howard Hughes, producer)",1927/28 (1st)
1928,The Broadway Melody,"Metro-Goldwyn-Mayer (Irving Thalberg & Lawrence Weingarten, producers)",1928/29 (2nd) [a]
1928,Alibi,"Feature Productions (Roland West, producer)",1928/29 (2nd) [a]
1928,The Hollywood Revue,"Metro-Goldwyn-Mayer (Irving Thalberg & Harry Rapf, producers)",1928/29 (2nd) [a]
1928,In Old Arizona,"Fox (Winfield Sheehan, producer)",1928/29 (2nd) [a]
1928,The Patriot,Paramount,1928/29 (2nd) [a]
1929,All Quiet on the Western Front,Universal (Carl Laemmle)[b],1929/30 (3rd)
1929,The Big House,"Cosmopolitan (Irving Thalberg, producer)",1929/30 (3rd)
1929,Disraeli,"Warner Bros. (Jack L. Warner & Darryl F. Zanuck, producers)",1929/30 (3rd)
1929,The Divorcee,"Metro-Goldwyn-Mayer (Robert Z. Leonard, producer)",1929/30 (3rd)
1929,The Love Parade,"Paramount Famous Lasky (Ernst Lubitsch, producer)",1929/30 (3rd)
1930,Cimarron,"RKO Radio (William LeBaron, producer)",1930/31 (4th)
1930,East Lynne,Fox,1930/31 (4th)
1930,The Front Page,"The Caddo Company (Howard Hughes & Lewis Milestone, producers)",1930/31 (4th)
1930,Skippy,"Paramount Publix (Jesse L. Lasky, B. P. Schulberg, & Adolph Zukor, producers)",1930/31 (4th)
1930,Trader Horn,"Metro-Goldwyn-Mayer (Irving Thalberg, producer)",1930/31 (4th)
1931,Grand Hotel,"Metro-Goldwyn-Mayer (Irving Thalberg, producer)",1931/32 (5th)
1931,Arrowsmith,"Samuel Goldwyn Productions (Samuel Goldwyn, producer)",1931/32 (5th)
1931,Bad Girl,Fox,1931/32 (5th)
